,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
70,2021-11-02,173.048167,158.9553549,183.0993653,173.048167,173.048167,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,170.6539142
71,2021-11-03,173.0597542,158.6304544,183.2354625,173.0597542,173.0597542,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,170.7741941
72,2021-11-04,173.0713414,158.1435856,182.4968299,173.0713414,173.0713414,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,170.5467267
73,2021-11-05,173.0825181,157.6256564,181.8678313,173.0825181,173.0825181,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,169.9900574
74,2021-11-08,173.1160484,158.9602178,182.9195181,173.1160484,173.1160484,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,170.5748331
75,2021-11-09,173.1272251,158.7794858,182.4225716,173.1272251,173.1272251,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,170.7329723
76,2021-11-10,173.1384018,159.1684961,183.0077813,173.1384018,173.1384018,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,170.8528418
77,2021-11-11,173.1495786,157.9720592,182.6524208,173.1495786,173.1495786,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,170.6249639
78,2021-11-12,173.1607553,158.0128164,182.6342811,173.1607553,173.1607553,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,170.0682946
79,2021-11-15,173.1942856,157.8784172,182.6515914,173.1942856,173.1942856,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,170.6530703
80,2021-11-16,173.2054623,159.2936459,182.9076895,173.2054623,173.2054623,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,170.8112095
81,2021-11-17,173.1717829,159.4382641,183.8007514,173.1717829,173.1717829,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,170.8862228
82,2021-11-18,173.1381036,159.3024627,183.6314356,173.1381036,173.1381036,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,170.6134889
83,2021-11-19,173.1044242,157.656459,182.5590381,173.1044242,173.1044242,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,170.0119635
84,2021-11-22,173.0033861,158.1600215,182.3266959,173.0033861,173.0033861,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,170.4621708
85,2021-11-23,172.9697067,158.2606463,182.9173394,172.9697067,172.9697067,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,170.5754539
86,2021-11-24,172.9360273,157.2118682,182.4294898,172.9360273,172.9360273,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,170.6504673
87,2021-11-26,172.8686686,157.7971666,182.0367381,172.8686686,172.8686686,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,169.7762079
88,2021-11-29,172.7676305,157.4941667,182.2746463,172.7676305,172.7676305,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,170.2264152
89,2021-11-30,172.6590252,157.9801001,182.8666527,172.6590252,172.6590252,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,170.2647724
90,2021-12-01,172.5504198,157.542472,182.8233614,172.5504198,172.5504198,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,170.2648597
91,2021-12-02,172.4418145,157.8186604,181.4013634,172.4418145,172.4418145,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,169.9171998
92,2021-12-03,172.3332092,157.8895906,182.8018249,172.3332092,172.3332092,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,169.2407484
93,2021-12-06,172.0073931,156.747393,181.8937848,172.0073931,172.0073931,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,169.4661778
94,2021-12-07,171.8987878,156.9819423,180.618089,171.8987878,171.8987878,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,169.504535
95,2021-12-08,171.7901825,157.0597282,182.1178052,171.7901825,171.7901825,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,169.5046224
96,2021-12-09,171.6815771,156.4507275,180.7369342,171.6815771,171.6815771,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,169.1569625
97,2021-12-10,171.5072334,155.8533492,181.4174379,171.5072334,171.5072334,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,168.4147726
98,2021-12-13,170.9842021,155.5953263,180.4828257,170.9842021,170.9842021,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,168.4429868
99,2021-12-14,170.8098583,156.0120238,180.0311179,170.8098583,170.8098583,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,168.4156056
100,2021-12-15,170.6355146,156.0231512,180.3569789,170.6355146,170.6355146,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,168.3499545
101,2021-12-16,170.4611708,155.2427238,179.7215268,170.4611708,170.4611708,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,167.9365561
102,2021-12-17,170.2868271,155.4535178,179.6517362,170.2868271,170.2868271,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,167.1943663
103,2021-12-20,169.7637958,155.5527108,178.666713,169.7637958,169.7637958,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,167.2225805
104,2021-12-21,169.5584093,153.944016,179.5879539,169.5584093,169.5584093,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,167.1641565
105,2021-12-22,169.3530227,155.9456785,179.7731928,169.3530227,169.3530227,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,167.0674627
106,2021-12-23,169.1476362,154.7211789,178.672895,169.1476362,169.1476362,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,166.6230215
107,2021-12-27,168.3260901,154.0285899,177.4922844,168.3260901,168.3260901,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,165.7848748
108,2021-12-28,168.1207036,153.5374199,178.4550835,168.1207036,168.1207036,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,165.7264508
109,2021-12-29,167.9153171,153.6286951,178.1318988,167.9153171,167.9153171,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,165.629757
110,2021-12-30,167.7099305,153.3605288,176.5036079,167.7099305,167.7099305,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,165.1853158
111,2021-12-31,167.504544,152.7551567,176.3804871,167.504544,167.504544,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,164.4120832
112,2022-01-03,166.8883844,152.8212999,177.1147036,166.8883844,166.8883844,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,164.3471691
113,2022-01-04,166.6829979,152.4961732,176.2299299,166.6829979,166.6829979,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,164.2887451
114,2022-01-05,166.4776113,151.8308473,176.3287427,166.4776113,166.4776113,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,164.1920513
115,2022-01-06,166.2722248,152.0730229,175.8708846,166.2722248,166.2722248,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,163.7476101
116,2022-01-07,166.0668383,150.2761659,175.6838888,166.0668383,166.0668383,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,162.9743775
117,2022-01-10,165.4506787,150.5245646,175.8604539,165.4506787,165.4506787,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,162.9094634
118,2022-01-11,165.2452922,149.7580242,175.6781791,165.2452922,165.2452922,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,162.8510394
119,2022-01-12,165.0399056,152.0701043,176.1161688,165.0399056,165.0399056,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,162.7543455
120,2022-01-13,164.8345191,150.3000424,174.0540656,164.8345191,164.8345191,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,162.3099044
121,2022-01-14,164.6291326,148.8573333,173.7001762,164.6291326,164.6291326,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,161.5366718
122,2022-01-18,163.8075865,148.7201019,174.9699157,163.8075865,163.8075865,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,161.4133337
123,2022-01-19,163.6022,148.0872303,173.5493282,163.6022,163.6022,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,161.3166399
124,2022-01-20,163.3968135,148.418572,172.4653321,163.3968135,163.3968135,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,160.8721988
125,2022-01-21,163.191427,147.4320177,171.9928121,163.191427,163.191427,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,160.0989662
126,2022-01-24,162.5752674,148.4996729,171.9826031,162.5752674,162.5752674,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,160.0340521
127,2022-01-25,162.3698809,147.3394067,172.3218438,162.3698809,162.3698809,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,159.9756281
128,2022-01-26,162.1644944,147.3360242,171.2955563,162.1644944,162.1644944,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,159.8789343
129,2022-01-27,161.9591079,147.6280372,172.1873768,161.9591079,161.9591079,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,159.4344932
130,2022-01-28,161.7537213,146.6596622,170.8369504,161.7537213,161.7537213,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,158.6612606
131,2022-01-31,161.1375618,146.5401554,170.614828,161.1375618,161.1375618,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,158.5963465
132,2022-02-01,160.9321753,146.3452766,169.9539519,160.9321753,160.9321753,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,158.5379225
133,2022-02-02,160.7267887,146.4741431,171.3490753,160.7267887,160.7267887,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,158.4412286
134,2022-02-03,160.5214022,145.7747039,169.158784,160.5214022,160.5214022,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,157.9967875
135,2022-02-04,160.3160157,144.8903054,168.8476043,160.3160157,160.3160157,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,157.2235549
136,2022-02-07,159.6998561,144.7042692,169.4411939,159.6998561,159.6998561,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,157.1586408
137,2022-02-08,159.4944696,144.989896,169.0036438,159.4944696,159.4944696,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,157.1002168
138,2022-02-09,159.2890831,144.4617185,169.0395646,159.2890831,159.2890831,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,157.003523
139,2022-02-10,159.0836966,144.5219203,168.5728451,159.0836966,159.0836966,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,156.5590819
140,2022-02-11,158.87831,143.7382905,166.3524513,158.87831,158.87831,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,155.7858493
141,2022-02-14,158.2621505,143.5127249,168.0873121,158.2621505,158.2621505,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,155.7209352
142,2022-02-15,158.0567639,143.5260082,167.4000236,158.0567639,158.0567639,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,155.6625111
143,2022-02-16,157.8513774,142.8472099,167.741773,157.8513774,157.8513774,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,155.5658173
144,2022-02-17,157.6459909,142.858483,167.409261,157.6459909,157.6459909,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,155.1213762
145,2022-02-18,157.4406044,142.5245871,166.8670787,157.4406044,157.4406044,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,154.3481436
